qid	qtitle	qoptA	qoptB	qoptC	qoptD	qanswer	qdifficulty	qexplain	qsource	qmainpoint
292	设A为已定义的类名，下面声明类A的对象a的语句中正确的是（   ）。	float A a;                   	public A a=A();  	A a=new int();               	A  a=new A();	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
293	下列语句中，属于多分支语句的是（  ）。	if语句   	switch语句   	do while语句   	for语句	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
294	若数组a定义为int[][]a=new int[3][4]，则a是(  )。	一维数组   	二维数组   	三维数组   	四维数组	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
295	Java语言使用的字符码集是（  ）。	ASCII   	BCD   	DCB   	Unicode	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
296	下列的哪个赋值语句是不正确的？（  ）	float f = 11.1;  	double d = 5.3E12;  	float d = 3.14f ;  	double f=11.1E10f；	A	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
297	下列的哪个赋值语句是正确的？（  ）	char a=12;  	int a=12.0;  	int a=12.0f;  	int a=（int）12.0	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
298	下列语句哪一个正确（  ）。 	Java程序经编译后会产生machine code   	Java程序经编译后会产生byte code  	Java程序经编译后会产生DLL   	以上都不正确	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
299	下列运算符合法的是（  ）。   	&& 	<> 	if 	:=	A	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
300	下列运算符不是算术运算符的是（  ）。	+	-	*	\	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
301	下列语句正确的是（  ）。  	形式参数可被视为局部变量   	形式参数可被全局变量   	形式参数为方法被调用时，是真正被传递的参数   	形式参数不可以是对象	A	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
302	下列标识符合法的是（  ）。   	new 	$Usdollars 	1234	car.taxi	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
303	"设有数组定义：int b[ ] = { 10 , 20 , 30 , 40 , 50 , 60 , 70}; 则b[1]的值是 （  ）。"	10	20	30	40	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
304	设有数组定义：int a[ ]=new int[10];则最后一个数组元素的下标是（ ）。	10	9	1	0	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
305	JAVA所定义的版本中不包括：（  ） 	J2EE 	J2SE 	J2ME	J2HE	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
306	变量命名规范说法正确的是（  ） 	变量由字母	下划线	数字	$符号随意组成 	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
307	为一个boolean类型变量赋值时，可以使用(  )方式。	boolean a=1;	boolean a=(9>=10); 	"boolean a=""真""; "	boolean a==false;	A	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
308	表达式(13+3*4)/4%3的值是( )。	25	0	1	2	B	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
309	下列值或表达式不能作为循环条件的是（  ）。	1>1	1!=0	i--	2&&2	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
310	下列值或表达式不能作为循环条件的是（  ）。	1>1	1!=0	i--	2&&2	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
311	"执行下面代码结果（  ）。for(int i=0; ;){   System.out.println(""这是 ""+i);   break； } "	语法错误，缺少表达式2和表达式3 	死循环 	程序什么都不输出	输出：这是0	C	4	"基本知识,细心你就懂"	2012年期末真题	java综合知识
312	以下代码段执行后的输出结果为（  ）。int  x=3；int  y=10； System.out.println(y%x); 	1	-1	2	3	A	4	"基本知识,细心你就懂"	2012年期末真题	java综合知识
313	下面代码的执行结果是（  ）。int i=2;System.out.println(i++);	3	2	1	0	B	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
314	"下面代码的执行结果是（ ）。int i=2,j=2;System.out.println(i++-j--);"	3	2	1	0	D	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
315	执行下列语句后，j的值为（  ）。int i=1;j=++i;	2	1	0	3	A	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
316	表达式6.0/2的运算结果是（  ）。	3	3	2	6	B	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
317	在类的定义中，构造方法的作用是（  ）。	保护成员变量	读取类的成员变量 	描述类的特征	初始化成员变量	D	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
318	下面哪一个不是Java中合法的标识符（  ）。	$per	twoNum	_myVar	*point	A	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
319	"设有a=2,b=3，则a&&b的结果是（ ）。"	TRUE	FALSE	2	3	A	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
320	表达式（16-3>2*5)的值是（ ）。	TRUE	FALSE	不确定	以上答案都不对	A	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
321	Java源文件和编译后的文件扩展名分别为（）。	.class和  .java 	.java和 .class 	.class和  .class 	.java和  .java	B	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
322	下面哪个是非法的（ ）。	int I=32;	float f=45.0; 	double d=45.0;	char c ='a';	B	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
323	"设x=1 , y=2 , z=3则执行语句 y+=z--/++x；后y的值是(    )。"	3.5	3	4	5	B	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
324	while循环和 do…while循环的区别是（  ）。	没有区别这两个结构任何情况下效果一样 	while循环比 do…while循环执行效率高 	while循环是先循环后判断所以循环体至少被执行一次	do…while循环是先循环后判断所以循环体至少被执行一次	D	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
325	下列循环执行的次数是（ ）。while(1)  i++;	1	0	无数次	以上说法都不对	C	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
326	下列关于语句for(表达式1;表达式2;表达式3)的描述中，错误的是( )。	表达式1仅在刚开始时被执行一次 	表达式2是一个条件表达式	表达式3通常用作修改循环控制变量之用	表达式3在循环体之前被执行	D	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
327	下列不是合法for语句的是(  )。	for(表达式1;;)	"for(表达式1,表达式2,表达式3)"	for(;表达式2;)	for(;;表达式3)	B	4	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
328	下列关于语句for(表达式1;表达式2;表达式3)的描述中，错误的是(  )。	表达式1和表达式3中不能含有多条语句	表达式2为空时，默认规定为恒真	for语句中定义的循环控制变量只在该块内有效	表达式1	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
329	数组int results[]=new int[6]所占存储空间是( )字节？	6	12	24	48	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
330	若a的值为1，则执行语句if((a>0)||(a++<0))  a++;后，a的值是( )。	3	2	1	0	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
331	若a的值为1，则执行语句if((a++<0)||(a>0))  a++;后，a的值是(  )。	3	2	1	0	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
332	有如下定义：int a=1;byte b=2;则表达式a+b的数据类型为（  ）。	int	byte	char	long	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
333	有如下定义：float a=3.14f;byte b=3;则表达式a+b的值的数据类型为（）。	byte	int	char	float	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
334	有如下定义：float a=1.0f;double b=2.0;则表达式a+b的值的数据类型为（  ）。	float	double	char	int	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
335	若有int x=10;char c='d';则表达式a+c的值的类型是（ ）。	char	int	float	byte	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
336	若有byte b=6;char c='c';则表达式b+c的值的类型是（  ）。	int	byte	char	float	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
337	若有byte b=6;short s=20;则表达式b+s的值的类型是（ ）。	byte	int	short	char	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
338	若有char c='8';short s=20;则表达式c+s的值的类型是（  ）。	char	short	int	byte	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
339	若有float f=2.6f;short s=20;则表达式f+s的值的类型是（  ）。	float	short	int	byte	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
340	"int a,b,c,d;表达式（a+b>c+d)的值的数据类型是（ ）。"	int	boolean	char	以上都不对	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
341	"若有int x,y,z;则表达式（x+y+z)是（ ）。"	算术表达式	逻辑表达式	关系表达式	以上都不对	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
342	"若有int x,y,z;则表达式（x+y>z)是（ ）。"	算术表达式	逻辑表达式	关系表达式	以上都不对	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
343	"若有int x,y,z;则表达式（x>y&&x>z)是（  ）。"	算术表达式	逻辑表达式	关系表达式	以上都不对	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
344	"若有int x,y,z;则表达式（x+3>y-1&&x>z)的类型是（）。"	算术表达式	逻辑表达式	关系表达式	以上都不对	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
345	"若有int x,y,z;则表达式（x+3>y-1&&x>z)的类型是（）。"	算术表达式	逻辑表达式	关系表达式	以上都不对	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
346	"若有int i, j=30 , k=10;i=j==k*3?1:0;则i的值为（ ）。"	1	30	0	90	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
347	在Java中负责对字节代码解释执行的是(  )。	应用服务器 	虚拟机	垃圾回收器 	编译器	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
348	设x为int型变量，则执行语句段x=10; x+=x-=x-x; 后，x的值为（ ）。 	30	20	40	10	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
349	执行下列语句后i 和n的值为（ ) 。int i=10;int n=i++%5; 	10，0	11，0 	10，1 	11，1	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
350	下列标识符中，（  ）是正确的变量名？ 	int 	one-hundred 	1thing 	thing1	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
351	定义整型变量：int n=456;表达式的值为5的是（  ）。	n%10 	n/10 	(n-n/100*100)/10	n%10/10	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
352	下面关于float数的定义错误的是（  ）。	float f=-5; 	float f=0x0687; 	float f=1.0; 	float f=7.8f;	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
353	下列变量定义不合法的是 (  )。	boolean flag=false; 	int k=1+'k'; 	"char ch=""c""; "	float r=1/2;	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
354	Java的一个int型变量占内存的字节是( )。	1	4	2	8	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
355	"若有定义 int x=3,y;则执行语句y=(x++)+(x++)+(x++)后，y=(  )。"	9	12	15	18	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
356	"若有定义 int x=3,y;则执行语句y=(++x)+(++x)+(++x)后，y=(  )。"	9	12	15	18	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
357	若a是int型变量，计算表达式 a=25/3%3 后，a为( )。	1	2	3	4	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
358	"若有以下定义 int k=7,x=12 ，则能使值为3的表达式(  )。"	x%=(k%=5) 	(x%=k)-(k%5) 	x%=k-k%5 	x%=(k-k%5)	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
359	"______ methodA(byte x,double y){  return (short)x/y*2;  }下划线上应填写的关键字是（  ）。"	byte	double	short	float	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
360	下面均为Java关键字的一组是(  ) 。	"boolean,byte,long,true"	"byte, long,true,goto"	"goto ,Boolean,byte,true"	"bool, long,true,auto"	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
361	表达式 5&2 之值应为(  )。	0	2	5	7	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
362	下面表达式 6|2 之值应为(  )。 	0	2	6	4	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
363	下面语句 System.out.println(4|7)的输出是( )。	4	5	6	7	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
364	"关于下面的代码行 int []arr={1,2,3}; for(int i=0;i<2;i++) arr[i]=0;哪一个表达式的值为true(  )。"	arr[0]==0  	arr[0]==01 	arr[1]==1  	arr[2]==0	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
365	分析下面的代码行 float f=3.2; int I=f; ，错误的答案是(  )。	代码不能编译	代码编译，i被设置为3  	第二行若改为 int i=(byte)f 则可编译  	第一行若改为 float f=3.2f 则可编译	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
366	常量定义的修饰符为(  ) 。	final 	finally 	const 	define	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
367	一个对象创建包括的操作中，没有下面的(  ) 。	释放内存 	对象声明 	分配内存 	调用构造方法	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
368	若有定义int a[]=new int[2][3]；则数组第1个下标的可用范围是 (  )。	1到2	0到2 	1	0到1	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
369	main方法需要一个参数，它是( ) 。	一个整型量 	一个String对象 	一个实型量 	一个任意类的对象	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
370	下列选项中，哪一项不属于JAVA语言的简单数据类型(  )。	整数型 	数组  	字符型	浮点型	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
371	下列关于JAVA语言简单数据类型的说法中，哪个是正确的(  )。 	一0开头的整数代表8进制常量	以0x或者0X开头的整数代表8进制整型常量	boolean类型的数据作为类成员变量的时候，系统默认值初始为true	double类型的数据占计算机存储的32位	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
372	下列关于JAVA语言中要使用的一个变量，不正确的是(  )。 	在JAVA程序中要使用一个变量，必须先对其进行声明	变量声明语句可以在程序的任何地方，只要在变量使用前就可以	变量不可以在其作用域之外使用	局部变量在使用之前可以不初始化，系统使用默认的初始值	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
373	下列JAVA语句中，错误的一项是(  )。	"int $e,a,b =10;"	"char c,d ='a'; "	float e=0.0d;	double e=0.0f;	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
374	在编写JAVA程序时候，如果不为类的成员变量定义初始值，JAVA会给他默认值，下类说法错误的是（ ）。	byte是0  	int是0  	long 是0.0l  	float是0.0f	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
375	下列哪一个不属于JAVA语言的数据类型(  )。	指针类型	类	数组	浮点类型	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
376	下列描述中正确的一项是(   )。	标识符首字符的后面可以跟数字	标识符不区分大小写	复合数据类型变量包括布尔型	字符型	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
377	下列哪一项不属于变量的组成部分（ ）。	变量名	变量类型	变量初值	变量大小	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
378	下面哪个方法是 public void example(){...} 的重载方法？（  ） 	private void example( int m){...}  	public int example(){...}  	public void example2(){...}  	"public int example(int m, float f){...}"	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
379	如下哪个不是Java中正确的整数表示（  ）。	11	0x22  	33	44H	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
380	下面哪个是main()方法的合法参数（  ）。	char args[]  	char args[][]  	String arg[]  	String args	D	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
381	"已知表达式int m[]={0, 1, 2, 3, 4, 5, 6，7 };  下面哪个表达式的值与数组最大下标数相等（ ）。"	m.length()  	m.length-1  	m.length()+1  	m.length+1	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
382	下面哪条语句定义了5个元素的数组（  ）。	"int []a={22,23,24,25,12}; "	int a[]=new int(5); 	int [5] array; 	int [] arr;	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
383	已知如下的命令执行java MyTest a b c 请问哪个语句是正确的（  ）。	"args[0] = ""MyTest a b c""  "	"args[0] = ""MyTest""  "	"args[0] = ""a""  "	args[1]= 'c'	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
384	下面哪个语句不能定义一个字符变量（    ）。 	char c1='a'; 	"char c2=""S""; "	char c4=97;      	char c3='\u0041';	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
385	"在Java语言中，假设类Worker是类Person的子类，Worker的构造方法中有一句""super( );""，该语句（ ）。"	调用类Worker中定义的super()方法 	调用类Person中定义的super()方法	调用类Person的构造方法	语法错误	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
386	指出下列哪个方法与方法public void add(int a){  }为错误的重载方法( )。	public int add(int a)         	public void add(long a) 	public int add(long a)	public void add(float a) 	A	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
387	算术表达式1+2/3-4*5的值为( )。	1	-19	-5	0	B	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
388	定义一个类名为MyClass的类，并且该类可被所有类访问，那么该类的正确声明应为( )。	private class MyClass extends Object   	class MyClass extends Object        	public class MyClass   	protected class MyClass extends Object	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
389	定义一个类名为MyClass的类，并且该类可被所有类访问，那么该类的正确声明应为(  )。	private class MyClass extends Object   	class MyClass extends Object        	public class MyClass   	protected class MyClass extends Object	C	3	"基本知识,细心你就懂"	福州大学期末考试真题	java综合知识
